USER_ID,Video_ID,Please describe what you saw while watching the video.,What did you focus on while watching the video?,I felt like I was actually there in the environment of the video.,It seemed as though I actually took part in the action of the video.,It was as though my true location had shifted into the environment of the video.,I felt as though I was physically present in the environment of the video.,"On a scale of 0-10, 0 being how you felt coming in, 10 being that you want to stop, what is your discomfort level now?"
U9LXBX,0,"A small group of elephants approaching my apparent position, then recoiling at the end of the video. ","The elephant on the left side, then the elephant that approached me towards the end.",3,4,3,4,1
U9LXBX,9,A racecar following another car around a race track,"The stats for the car i was on top of at first, then the car in front of me towards the end",3,2,4,2,1
U9LXBX,6,a video with people dancing all around me,"the flow of the dancers, mostly the initial front ones ",4,2,4,5,2
U9LXBX,24,a section of UT Dallas near the student union,the flow of people going around me,5,3,4,4,0
U9LXBX,21,"A luxury penthouse in New York, with someone reviewing it(?)",The furniture and other things this luxury apartment had in it,4,4,5,4,4
U9LXBX,8,A beach in Seychelles,The green and scenery,3,2,4,5,3
U9LXBX,28,A drone following a car in the country side,The car being followed,5,4,5,5,5
U9LXBX,14,"A elevator going up, then down ",the door of the elevator and some of the scenery to the right,5,5,5,5,3
U9LXBX,12,A car driving down a New York street.,"The road in front of me, while also looking at some of the shops.",4,3,5,4,3
U9LXBX,18,A man having a drone vertically ascend,Trying to figure out where I was in the world by looking at the surrounding buildings,4,4,4,3,4
U9LXBX,2,A mountain range,"Admiring the scenery, while also trying to discern objects in the distance",5,5,5,5,2
U9LXBX,30,A group of Jets flying in close formation,What was in front of the place and the planes flying in formation,3,3,4,3,3
U9LXBX,25,A flyby of a mountain range,The peak of the closest mountain and the snow,3,2,4,3,3
U9LXBX,19,A video of a lab room at UTD,"looking at the people/surroundings, also the shifting of the camera",4,3,3,3,5
U9LXBX,3,A man going over a person's expensive closet,The man talking about the closet,4,4,5,5,4
0Z4VWJ,0,Elephants in a field walking toward me. One approached me and then backed away. ,Mostly on the elephant standing closest to me. ,3,2,2,1,0
0Z4VWJ,12,"I was driving atop a car down the roads of NYC, among traffic down a straight road. ",Mostly on the tall buildings and the people. I also focused on the movement of the car. ,4,3,3,4,0
0Z4VWJ,30,I was flying with 3 other jets in the US Navy. ,The scenery on the ground and also the controls on the plane (how it moved). ,2,2,2,2,0
0Z4VWJ,26,I was travelling down a scenic cliff side that had a waterfall.  ,"My eye was drawn to the rainbow created by the water fall, and also the size of the mountains. ",4,2,4,4,0
0Z4VWJ,1,I saw a sunset scenery in a barren land. There was a lot of wind. ,I mostly focused on the view created by the sunset. ,2,1,2,2,0
0Z4VWJ,17,I was on a vertical drop ride at an amusement park. ,"My eye was drawn to the roller coaster on my left, but also to the dangling feet of the woman sitting behind me when I looked down. ",3,3,3,3,0
0Z4VWJ,3,I was watching a man give me a tour of a luxurious dressing room. ,I focused on the mans talking and gesturing. ,4,2,4,4,0
0Z4VWJ,28,I was on a drone watching a car travelling down a country road that was surrounded by fields and farmland. ,"My eyes were focused on the car for the most part, but I was occasionally distracted by the blades of the drone. ",4,2,4,5,0
0Z4VWJ,5,I was in a Savannah watching several grazing rhinoceros. ,The rhino's that were standing closest to me. ,4,2,3,3,0
0Z4VWJ,8,I was flying along the beach of some island. There was landmass on one side and vast ocean on the other. ,My eyes were drawn to the boat that was standing still on the water. I was also focusing on the aesthetic colors of the scenery. ,5,2,4,3,0
0Z4VWJ,23,I was standing in the circular hallway of the ECSS building at UTD. There were students walking down the hall around me. ,"I was focusing on the students that walked past me, and also on the people that walked in the front doors. ",5,2,5,5,1
0Z4VWJ,22,I was in an office or mail room at UTD watching a guy operate a copy machine. ,I was focusing on what the man was doing. ,4,2,4,4,0
0Z4VWJ,19,"I was in the same lab room that I am right now, watching 3 students working. ","The items on the desks, and also what the students were doing. ",4,2,4,5,0
0Z4VWJ,14,I was in an elevator with glass walls that was travelling up a tall building pretty fast.  It stopped at the top floor and then went back down again.  ,The doors of the elevator. ,2,2,2,3,3
0Z4VWJ,9,I was on a race car travelling down a racing track. I was following another car. ,"The car in front of me, the speedometer, and also on the fact that the map icon above me did not move at all. ",3,2,3,3,0
805G37,0,elephants in a plains moving,moving elephants the one which was closer to the camera,2,3,3,3,0
805G37,17,adventure ride felt like was one of the person in that ride,nothing in specific,4,4,4,4,0
805G37,20,Still standing and rotating in anti clockwise on ECSN 3rd floor.,The location I am currently standinf,3,3,3,3,0
805G37,10,in a forest moving with the woman and some kind of drone flying over head. The woman's head seems distorted making it uncomfortable to watch.,the woods and the face of the woman,3,3,3,3,2
805G37,3,Guy taking something i guess talking about the house. The environment seems to be like some woman's shopping center seeing the number of shoes and bags.,The guy moving around,5,4,5,4,0
805G37,22,"A person tying to make a copy in the copy center, the continuously rotating made it uneasy to be in the environment.",the movement of the guy.,5,4,4,4,3
805G37,27,Skydiving in Dubai Amazing experience felt like was in the movement,the palm island and when altitude decreased focus shifted to buildings ,5,5,5,5,0
805G37,6,"dancing 360, sometimes the patern in which they were dancing were random making it difficult to focus.",the group who was dancing,3,3,3,3,0
805G37,2,mountain region.,the peaks on the furthest distance ,4,4,4,4,0
805G37,29,Pac man game in VR,the surroundings and the possible direction the enemies present,5,5,5,5,0
805G37,7,Felt like was in Air Balloon As flying is still not possible. ,"The amazing nature and the places furthest away, as the looked amazing",5,5,5,5,0
805G37,24,In UTD near ECSN and Plinth people moving in their daily routine. The continuously rotating of the camera made it difficult to be in the enviornment.,nothing in particular just trying to see if I was in the video or not,4,4,4,4,0
805G37,26,Waterfall near a mountain range with beautiful surrounding.,The water fall and the place it came and from where it fell to,5,5,5,5,0
805G37,11,"Animation of some kind of horse riding competition, if were a game major focus would be on the opponents but as the VR experience Focused on the sceneries ",The surroundings and the opponents.,4,4,4,4,0
805G37,13,Presence in the lift going up and then comming down at last,nothing in particular ,4,4,4,4,0
5L115E,0,Elephant strolling,The elephant,5,5,5,5,0
5L115E,3,Andrew addressing someone,The room setup,5,5,5,5,0
5L115E,13,Elevator travel,The various floors,5,5,5,5,0
5L115E,12,Times square,The various buildings,5,5,5,5,0
5L115E,19,The past version of the lab,The lab setup,5,5,5,5,0
5L115E,6,A 360 dance video,The dance,4,4,4,4,2
5L115E,10,A walk in the woods,The trees,5,4,4,5,0
5L115E,1,Sunset/Sunrise video,The surroundings,5,5,5,5,0
5L115E,25,The snowy mountains,The snow filled landscapes ,5,5,5,5,0
5L115E,21,A real estate agent trying to sell a house,The house,5,5,5,5,0
5L115E,18,A drone POV,The city landscape,5,5,5,5,0
5L115E,8,A beach on an island,The beach,5,5,5,5,0
5L115E,27,The Palm Jumeriah,The bird's eye view,5,5,5,5,0
5L115E,23,The ECSN entrance,The 360 view,5,5,5,5,0
5L115E,30,An airplane sortie,The POV of the exercise,5,5,5,5,0
FW6GWL,0,I saw a herd of elephant walking through a plains.,"At first I looked at all the elephants, and then focused on the one that came the closest.",4,3,4,2,0
FW6GWL,13,An elevator with clear walls and doors going up and down.,The flights of stairs moving up and down.,4,2,1,2,1
FW6GWL,17,A amusement part below me as I climbed up a ride.,"The large distance from the ground, the surroundings.",5,4,3,3,1
FW6GWL,10,"A woman walking behind/around me as I somehow travel through a leafless forest, as well as an unknown machine above me.","The woman, the exit on either end, the unknown machine above.",3,2,3,3,0
FW6GWL,5,"Two students in red/black shirts in ECSW sitting by a window. One of them is on his phone, and the other was also on his phone before he left and came back, seemingly saying something to the redshirt.",The person in the black shirt that moved.,4,1,3,1,0
FW6GWL,20,An empty walkway on the third floor of the ECS(?) building near the stairs. The view pans slowly by itself.,"There was nothing to focus on, so I ended up sitting still and watching the view pan.",2,1,2,2,0
FW6GWL,26,A waterfall over a large mountain in Asia(?) and forest underneath. What seems to be a river from the waterfall cuts through the forest. The mountain is quite colorful. Behind is are floating words that say [Air Pano Vr Production].,The words behind me. The waterfall. ,4,3,3,3,0
FW6GWL,7,"A forest passing underneath, a forested hill to the back and right, and grassland to the left with more hills.There was a small house and a path.","My attention was ultimately drawn the the forest below, especially where you could see the ground.",4,3,4,4,0
FW6GWL,2,The sandy top of a hill and mountaintops around me. ,"I attempted to see what was beyond where the sands ""dropped off"" out of view.",4,1,3,3,0
FW6GWL,24,I saw an intersection on campus with students walking by. ,"There were a few students I focused on, mostly those not in groups, as well as one person holding a water bottle, followed by a person in bright colors (red), and then noticed panning, and then just watched.",4,2,3,3,0
FW6GWL,29,A bird's eye view of a pacman game that then dropped me into the game itself. Running from the ghosts and then eating two.,I focused on tracking nearby ghosts.,5,4,4,4,1
FW6GWL,5,A group of rhinos grazing and walking around,"I watched the initial two rhinos before watched the four stuck together, then ultimately watched a pair of large and small rhinos eating. Specifically their mouths.",4,2,3,3,0
FW6GWL,21,"Text appeared as a person walked into the room and vanished. There were more text that vanished while I wasn't looking. I didn't see much of the person because I was looking elsewhere until the sudden pan, and then watched him open a hidden compartment.",I tried to read the text at the beginning. There was what looked like a plate of cookies behind me that initially attracted my attention. I watched the person reveal the hidden compartment.,4,3,3,3,0
FW6GWL,11,A chariot race in a small arena with elevated audiences. There were many other competitors that were sometimes obscured in dust.,"I surveyed my surroundings behind focusing on the race, and then the four horses around me and their movements.",4,5,4,4,0
FW6GWL,28,"I saw a car driving on a narrow road through a wide, green expanse. Below me is the drone and a copy of what the drone sees.","I spent most of my time in the video comparing the moving picture ""below"" me and what I am actually seeing in the video.",3,4,4,4,0
322SAJ,0,A herd of elephants approaching a video camera stand. They acted with curiosity and then one of the elephants (the matriarch?) repulsed after attempting to touch/feel the camera stand.,Mostly the elephant to the right which approached and interacted with the camera. But I looked over my shoulder to check up on the activity of the elephant behind me.,3,3,2,2,0
322SAJ,13,A glass walled elevator going up.,"I felt a slight sense of upward movement, but it was just short of actual ""location transportation"". ",4,4,2,2,0
322SAJ,30,I was a pilot in a formation with the Blue Angels. The planes did a loop-the-loop and leveled off above an airfield.,The formation of the planes. Particularly the right wing-mate who came a little close to the plane my camera was in.,3,4,3,2,0
322SAJ,4,"Two guys in a hallway, one on his phone sitting still and the other walking around to different locations in front and behind me.",The guy walking around. It felt awkward to just stare forward out the window doing nothing. Especially with the other guy on his phone; I felt the urge to take my phone out and start browsing.,4,4,4,3,0
322SAJ,9,Two cars running through a test track.,"The car in front of me, the speedometer, and occasional glances backwards as if to check there were no cars behind me as the car made its turns/decelerations.",4,4,2,2,0
322SAJ,24,I was sitting in a main campus intersection for foot traffic.,"The people walking past. No different than sitting in a chair at that intersection. I thought I recognized some people too, so I watched them approach to see if it was them.",4,4,4,3,0
322SAJ,19,"I was in the room where the research is taking place (a computer lab) with three people in the room on computers. The camera was in the same location I am sitting in, but placed higher up on a table/perch.","Observing the environment. I wished there was a computer screen for myself to look at, given that was what everyone in the room was doing. The camera was placed high on the table, and I feel that if it were on the floor to be the same height I am at now, it would be significantly more immersive.",2,2,4,4,0
322SAJ,18,A drone took off next to a large building (Sailing Tower) in a large city.,"I tried to read the building names and advertisements, as well as looking off to the distant skyline. I thought I recognized the city but I couldn't quite place it.",2,2,1,1,0
322SAJ,21,"An advertisement/tour for a new apartment in New York City. I believe its the new needle-like tower near Central Park, but this particular apartment was facing the Chrysler and Empire State Buildings.","In between tracking the mans/advertisers/tour-guide's movements and the text prompts, I looked out at the skyline. My first action in the video was to look around me in 360 to see the whole of the room.",2,1,1,1,0
322SAJ,28,A drone following a car in farming country.,"The car, and the people in it when the drone passed the car.",2,1,1,1,0
322SAJ,12,A black SUV going down a main road in Manhattan NYC.,"I looked at the shops and advertisements at first but I was more focused on trying to find the actual street/location using reference points. More so than the racecar and Blue Angels videos, i felt like a passenger, not the driver/pilot.",2,2,2,1,0
322SAJ,26,"An ""Air Pano VR Production"" advert/techdemo for its 360 camera. It was at a very high waterfall in a rainforest. I want to say South America.","The nature was beautiful, but the ""Air Pano VR Production"" was a huge break in immersion. As the video continued, I purposefully tried to avoid looking at it and wished the logo would go away.",1,1,1,1,0
322SAJ,2,A mountaintop view in a desert wilderness.,"After a 360 rotation to look at the full environment, I turned to the longest line of sight over a long valley. I then sat still, and enjoyed the view. The white noise machine, when paired with this setting, began to sound like wind. I actually felt my heart rate slow and blood pressure relax just a little bit.",4,3,2,4,0
322SAJ,8,A drone/plane flying above a beach. There were people on one beach and a boat parked in the water next to another.,Looking to see where/if there were people around. Enjoying the view. As with the mountaintop video the white noise machine enhanced the immersion and this time took on the sound of waves.,4,3,2,2,0
322SAJ,6,A group of dancers in a brick walled dance studio doing a 360 tech-demo dance performance.,"I did what the dancers told me to do! They pointed to the left, I looked to the left to watch those people break out in dance. They point behind, I looked behind. The lack of sound for the dance really broke any sense of being there.",1,1,1,1,0
BN6V1W,0,elephants in some valley,the elephants itself after checking my surrounding,5,3,4,5,1
BN6V1W,23,students walking in the aisle,the students.,3,4,2,4,3
BN6V1W,17,The buildings and the rollercoaster,surroundings,3,5,4,4,1
BN6V1W,25,The mountains and the beautiful nature.,nothing I focused. But I noticed the two climbers.,4,3,4,5,0
BN6V1W,29,It was a Pacman game and I was watching the moves.,The seeds and the ones chased me.,5,5,4,5,5
BN6V1W,20,One other aisle of the school at ECSS.,I tried to move my head as the video was moving.,1,1,2,2,9
BN6V1W,11,The horses competition in an old stadium,I was looking ahead mostly.,3,5,3,4,2
BN6V1W,4,It was an aisle again in the university and two students were in the location.,I was watching the students mostly.,3,4,3,4,1
BN6V1W,10,A woman walking in the woods,I was watching the woman so that maybe she is going to do something but nothing happened,2,2,2,2,2
BN6V1W,7,the mountains in fall,the beautiful surroundings,4,3,5,4,0
BN6V1W,27,The parachuting,I focused on the buildings,3,4,3,4,0
BN6V1W,1,I saw the beautiful scenes of the sun set.,I was watching mostly the sunset.,3,3,4,3,0
BN6V1W,22,A student was working with the printer,I tried to not move that much but maybe focused on the student more.,3,3,3,3,6
BN6V1W,14,There was an elevator going up and stopped and went down,I was watching the outside from the window mostly,3,5,4,3,1
BN6V1W,5,There were some animals eating,I was watching on their babies,4,2,3,4,0
BGQZ3M,0,I saw a group of elephants walking on the grass.,I was focusing on the elephants.,3,2,2,2,1
BGQZ3M,9,"A race track, racing, speedometer, road.",The tracks.,3,3,3,4,1
BGQZ3M,13,I was going up and down in an elevator.,I was looking through the glass walls and inside the elevator,4,3,3,4,1
BGQZ3M,26,"The sky, trees, waterfall, rainbow, and mountains.",I focused on the waterfall.,5,4,4,4,0
BGQZ3M,8,"Ocean, mountains, and trees.",I focused on the trees and the ocean.,4,4,4,4,1
BGQZ3M,28,A drone following a car that is driving through the middle of a field.,I focused on the car and the fields.,3,3,3,3,1
BGQZ3M,11,"I was riding on a horse pulled cart in the middle of an ""ancient"" set.","I was looking at the other carts, and also all the environment around me.",5,5,5,5,0
BGQZ3M,19,It's looked like the lab that I'm sitting in right now. There were several people working on their computers.,Didn't focus on anything in particular.,3,3,2,3,2
BGQZ3M,2,This was just a 360  image taken from the top of a hill. I saw several other hills nearby.,I focused on the hills and the sky.,3,2,3,2,1
BGQZ3M,21,A guy showing all over the apartment in a city. ,I was focusing on the outside view from the living room and also on the whole apartment in general.,4,4,4,4,0
BGQZ3M,23,This video was taken at the ECS door. ,Nothing in particular.,3,3,3,3,1
BGQZ3M,5,A bunch of rhinoceros eating grass.,I was looking at those animals.,4,4,4,4,0
BGQZ3M,30,A U.S. Navy fighter jet flying over a forest.,"I was looking at the pilot, the jet, and the whole view in general.",4,4,4,4,0
BGQZ3M,18,A guy flying a drone in a city.,I was looking at the view of the whole city. Nothing in particular.,5,4,4,4,0
BGQZ3M,3,"I was standing in the middle of a room where there were many luxury shoes, handbags, and clothes.",I was not looking at anything in particular.,4,4,4,4,0
2PG1QX,0,elephant walking,elephant ,5,3,3,5,0
2PG1QX,24,People walking.,People,4,3,3,5,0
2PG1QX,22,Some one print and scan paper,person,4,4,4,4,0
2PG1QX,10,A girl walking in the jungle , A girl ,4,4,4,4,0
2PG1QX,14,Moving up and down in elevator ,outside,3,3,3,3,0
2PG1QX,25,Snowy mountain ,Snowy mountain ,5,5,5,5,0
2PG1QX,29,pac man ,pac man ,2,2,2,2,2
2PG1QX,12,car in New York ,car in New york ,5,5,5,5,0
2PG1QX,20,Hallway in building ,Hallway in building ,3,3,3,3,0
2PG1QX,6,People dancing ,People dancing ,5,5,5,5,0
2PG1QX,7,Jungle full of trees,trees,5,5,5,5,0
2PG1QX,27,wingsuit,wingsuit,4,5,5,5,0
2PG1QX,17,Girls using free fall,roller coaster ,4,5,4,5,0
2PG1QX,1,landscpe,grass,3,4,3,3,0
2PG1QX,4,Two people walking and standing on the chair,a man walking,4,5,5,5,0
4YG7YB,0,elephants in a grassy plane,"horizon, elephants, video stand area",2,2,3,2,1
4YG7YB,26,"waterfalls along the edge of cliff, tropical forest","the waterfall rainbow, the logo, rock edge",4,3,4,4,1
4YG7YB,24,campus walkway,people walking around,4,4,5,5,1
4YG7YB,13,elevator moving up floors,"elevator frame and buttons, occasionally furniture outside",4,3,4,4,1
4YG7YB,11,chariot race in ancient times,"horses, stadium structure/walls",5,5,4,4,1
4YG7YB,17,a ride at a park,"the ground, other riders, general horizon",4,5,4,5,4
4YG7YB,27,skydiving/gliding,"buildings, island design",5,5,5,4,2
4YG7YB,8,island side beach,"island, beach, boat",3,3,3,3,1
4YG7YB,30,plane performing tricks,"where the ground is, the guy behind me",5,5,5,5,4
4YG7YB,22,a guy making photocopy,the guy,4,3,4,4,5
4YG7YB,5,rhinos grazing,the rhinos that were close by and eating,4,3,3,3,3
4YG7YB,20,hallway of ecsn,stairs and walkways,3,3,3,3,1
4YG7YB,10,a lady walking through the woods in sepia,"the lady, the direction we're walking, large branches",2,2,3,2,0
4YG7YB,1,a time lapse of the serengeti,"the waving plant, the distant view, plains behind me",3,2,4,3,1
4YG7YB,4,hallway in utd building,"the guy moving around, the guy sitting, hallway",4,3,4,4,1
MITA71,0,Elephants walking towards me.,The two elephants nearest me.,4,3,3,4,0
